Nom,Isin,Symbole,Marche,Mic
TAKEAWAY,NL0012015705,TKWY,Euronext_Amsterdam,XAMS
TELEGRAAF_MEDIA_GR,NL0000386605,TMG,Euronext_Amsterdam,XAMS
TETRAGON_FIN_GRP,GG00B1RMC548,TFG,Euronext_Amsterdam,XAMS
THUNDERBIRD,VGG885761061,TBIRD,Euronext_Amsterdam,XAMS
TIE_KINETIX,NL0010389508,TIE,Euronext_Amsterdam,XAMS
TKH_GROUP,NL0000852523,TWEKA,Euronext_Amsterdam,XAMS
TOMTOM,NL0000387058,TOM2,Euronext_Amsterdam,XAMS
UNIBAIL-RODAMCO,FR0000124711,UL,Euronext_Amsterdam,XAMS
UNILEVER_6%,NL0000388742,UNCP6,Euronext_Amsterdam,XAMS
UNILEVER_7%,NL0000388726,UNCP7,Euronext_Amsterdam,XAMS
UNILEVER_DR,NL0000009355,UNA,Euronext_Amsterdam,XAMS
UNILEVER_DR7CP,NL0000388684,UNCC7,Euronext_Amsterdam,XAMS
UNILEVER_OS,NL0000388619,UNIA,Euronext_Amsterdam,XAMS
VALUE8,NL0010661864,VALUE,Euronext_Amsterdam,XAMS
VALUE8_CUM_PREF,NL0009875483,PREVA,Euronext_Amsterdam,XAMS
VAN_LANSCHOT,NL0000302636,LANS,Euronext_Amsterdam,XAMS
VASTNED,NL0000288918,VASTN,Euronext_Amsterdam,XAMS
VEON,BMG9349W1038,VEON,Euronext_Amsterdam,XAMS
VERENIGDE_NED_COMP,NL0009169515,VNC,Euronext_Amsterdam,XAMS
VOLKERWESSELS,NL0012294466,KVW,Euronext_Amsterdam,XAMS
VOLTA_FINANCE,GG00B1GHHH78,VTA,Euronext_Amsterdam,XAMS
VOPAK,NL0009432491,VPK,Euronext_Amsterdam,XAMS
WERELDHAVE,NL0000289213,WHA,Euronext_Amsterdam,XAMS
WESSANEN,NL0000395317,WES,Euronext_Amsterdam,XAMS
WOLTERS_KLUWER,NL0000395903,WKL,Euronext_Amsterdam,XAMS
YATRA,JE00B1FBT077,YATRA,Euronext_Amsterdam,XAMS
4ENERGY_INVEST,BE0974275076,ENINV,Euronext_Brussels,XBRU
AB_INBEV,BE0974293251,ABI,Euronext_Brussels,XBRU
ABLYNX,BE0003877942,ABLX,Euronext_Brussels,XBRU
ABO_GROUP,BE0974278104,ABO,Euronext_Brussels,XBRU
ACCENTIS,BE0003696102,ACCB,Euronext_Brussels,XBRU
ACKERMANS_V.HAAREN,BE0003764785,ACKB,Euronext_Brussels,XBRU
AEDIFICA,BE0003851681,AED,Euronext_Brussels,XBRU
AGEAS,BE0974264930,AGS,Euronext_Brussels,XBRU
AGFA-GEVAERT,BE0003755692,AGFB,Euronext_Brussels,XBRU
ANTARES_CERT,BE0003676872,ANT,Euronext_Brussels,XBRU
ARGENX_SE,NL0010832176,ARGX,Euronext_Brussels,XBRU
ASCENCIO,BE0003856730,ASC,Euronext_Brussels,XBRU
ASIT,BE0974289218,ASIT,Euronext_Brussels,XBRU
ATENOR,BE0003837540,ATEB,Euronext_Brussels,XBRU
BANIMMO_A,BE0003870871,BANI,Euronext_Brussels,XBRU
BARCO,BE0003790079,BAR,Euronext_Brussels,XBRU
BASILIX_CERT,BE0003674851,BAS,Euronext_Brussels,XBRU
BEAULIEU-AV._CERT,BE0003661726,BEAB,Euronext_Brussels,XBRU
BEFIMMO,BE0003678894,BEFB,Euronext_Brussels,XBRU
BEKAERT,BE0974258874,BEKB,Euronext_Brussels,XBRU
BELRECA,BE0020575115,BELR,Euronext_Brussels,XBRU
BELUGA,BE0003723377,BELU,Euronext_Brussels,XBRU
BIOCARTIS,BE0974281132,BCART,Euronext_Brussels,XBRU
BONE_THERAPEUTICS,BE0974280126,BOTHE,Euronext_Brussels,XBRU
BPOST,BE0974268972,BPOST,Euronext_Brussels,XBRU
BQUE_NAT._BELGIQUE,BE0003008019,BNB,Euronext_Brussels,XBRU
BREDERODE,LU1068091351,BREB,Euronext_Brussels,XBRU
CAMPINE,BE0003825420,CAMB,Euronext_Brussels,XBRU
CARE_PROPERTY_INV.,BE0974273055,CPINV,Euronext_Brussels,XBRU
CELYAD,BE0974260896,CYAD,Euronext_Brussels,XBRU
CENERGY,BE0974303357,CENER,Euronext_Brussels,XBRU
CFE,BE0003883031,CFEB,Euronext_Brussels,XBRU
CIE_BOIS_SAUVAGE,BE0003592038,COMB,Euronext_Brussels,XBRU
COFINIMMO,BE0003593044,COFB,Euronext_Brussels,XBRU
COFINIMMO_PRIV1,BE0003811289,COFP1,Euronext_Brussels,XBRU
COFINIMMO_PRIV2,BE0003813301,COFP2,Euronext_Brussels,XBRU
COLRUYT,BE0974256852,COLR,Euronext_Brussels,XBRU
CONNECT_GROUP,BE0003786036,CONN,Euronext_Brussels,XBRU
D''IETEREN,BE0974259880,DIE,Euronext_Brussels,XBRU
DALENYS,BE0946620946,NYS,Euronext_Brussels,XBRU
DECEUNINCK,BE0003789063,DECB,Euronext_Brussels,XBRU
DEXIA,BE0974290224,DEXB,Euronext_Brussels,XBRU
DIEGEM_KENNEDYCERT,BE0003698124,DIEG,Euronext_Brussels,XBRU
DISTRI-LAND_CERT,BE0003605160,DISL,Euronext_Brussels,XBRU
ECKERT-ZIEGLER_BG,BE0974300320,EZBG,Euronext_Brussels,XBRU
ECONOCOM_GROUP,BE0974266950,ECONB,Euronext_Brussels,XBRU
ELIA,BE0003822393,ELI,Euronext_Brussels,XBRU
ENVIPCO,NL0009901610,ENVI,Euronext_Brussels,XBRU
EURONAV,BE0003816338,EURN,Euronext_Brussels,XBRU
EVS_BROADC.EQUIPM.,BE0003820371,EVS,Euronext_Brussels,XBRU
EXMAR,BE0003808251,EXM,Euronext_Brussels,XBRU
FAGRON,BE0003874915,FAGR,Euronext_Brussels,XBRU
FLORIDIENNE,BE0003215143,FLOB,Euronext_Brussels,XBRU
FLUXYS_BELGIUM_D,BE0974265945,FLUX,Euronext_Brussels,XBRU
FOUNTAIN,BE0003752665,FOU,Euronext_Brussels,XBRU
GBL,BE0003797140,GBLB,Euronext_Brussels,XBRU
GENK_LOGIST._CERT,BE0003740546,GENK,Euronext_Brussels,XBRU
GIMV,BE0003699130,GIMB,Euronext_Brussels,XBRU
GLOBAL_GRAPHICS,GB00BYN5BY03,GLOG,Euronext_Brussels,XBRU
GREENYARD,BE0003765790,GREEN,Euronext_Brussels,XBRU
HAMON,BE0003700144,HAMO,Euronext_Brussels,XBRU
HOME_INVEST_BE.,BE0003760742,HOMI,Euronext_Brussels,XBRU
IBA,BE0003766806,IBAB,Euronext_Brussels,XBRU
IEP_INVEST,BE0003748622,IEP,Euronext_Brussels,XBRU
IMMO_MCC,BE0974287196,MCC,Euronext_Brussels,XBRU
IMMO_MOURY,BE0003893139,IMMOU,Euronext_Brussels,XBRU
IMMOBEL,BE0003599108,IMMO,Euronext_Brussels,XBRU
INTERVEST_OFF-WARE,BE0003746600,INTO,Euronext_Brussels,XBRU
JENSEN-GROUP,BE0003858751,JEN,Euronext_Brussels,XBRU
KBC,BE0003565737,KBC,Euronext_Brussels,XBRU
KBC_ANCORA,BE0003867844,KBCA,Euronext_Brussels,XBRU
KEYWARE_TECH.,BE0003880979,KEYW,Euronext_Brussels,XBRU
KINEPOLIS_GROUP,BE0974274061,KIN,Euronext_Brussels,XBRU
KORTRIJK_SHOP.CERT,BE0003608198,KOR,Euronext_Brussels,XBRU
LEASINVEST,BE0003770840,LEAS,Euronext_Brussels,XBRU
LOTUS_BAKERIES,BE0003604155,LOTB,Euronext_Brussels,XBRU
LUX-AIRPORT_CERT,LU0092846210,LUXA,Euronext_Brussels,XBRU
MDXHEALTH,BE0003844611,MDXH,Euronext_Brussels,XBRU
MEDIVISION,IL0010846314,MEDV,Euronext_Brussels,XBRU
MELEXIS,BE0165385973,MELE,Euronext_Brussels,XBRU
MIKO,BE0003731453,MIKO,Euronext_Brussels,XBRU
MITHRA,BE0974283153,MITRA,Euronext_Brussels,XBRU
MONTEA_C.V.A.,BE0003853703,MONT,Euronext_Brussels,XBRU
MOPOLI,NL0000488153,MOP,Euronext_Brussels,XBRU
MOPOLI_FOND,NL0000488161,MOPF,Euronext_Brussels,XBRU
MOURY_CONSTRUCT,BE0003602134,MOUR,Euronext_Brussels,XBRU
NEUFCOUR-FIN.,BE0003680916,NEU,Euronext_Brussels,XBRU
NR21,FR0004166155,NR21,Euronext_Brussels,XBRU
NYRSTAR,BE0974294267,NYR,Euronext_Brussels,XBRU
OIM,GB00B063YS85,OIM,Euronext_Brussels,XBRU
ONTEX_GROUP,BE0974276082,ONTEX,Euronext_Brussels,XBRU
OPTION,BE0003836534,OPTI,Euronext_Brussels,XBRU
ORANGE_BELGIUM,BE0003735496,OBEL,Euronext_Brussels,XBRU
ORCOBSAAR1219,XS0290764728,ORCOW,Euronext_Brussels,XBRU
PAYTON_PLANAR,IL0010830391,PAY,Euronext_Brussels,XBRU
PCB,BE0003503118,PCBB,Euronext_Brussels,XBRU
PICANOL,BE0003807246,PIC,Euronext_Brussels,XBRU
PROXIMUS,BE0003810273,PROX,Euronext_Brussels,XBRU
QRF,BE0974272040,QRF,Euronext_Brussels,XBRU
QUESTFOR_GR-PRICAF,BE0003730448,QFG,Euronext_Brussels,XBRU
REALDOLMEN,BE0003899193,REA,Euronext_Brussels,XBRU
RECTICEL,BE0003656676,REC,Euronext_Brussels,XBRU
RESILUX,BE0003707214,RES,Euronext_Brussels,XBRU
RETAIL_ESTATES,BE0003720340,RET,Euronext_Brussels,XBRU
ROSIER,BE0003575835,ENGB,Euronext_Brussels,XBRU
ROULARTA,BE0003741551,ROU,Euronext_Brussels,XBRU
RTL_GROUP,LU0061462528,RTL,Euronext_Brussels,XBRU
SABCA,BE0003654655,SAB,Euronext_Brussels,XBRU
SAPEC,BE0003625366,SAP,Euronext_Brussels,XBRU
SCHEERD.V_KERCHOVE,BE0012378593,SCHD,Euronext_Brussels,XBRU
SIOEN,BE0003743573,SIOE,Euronext_Brussels,XBRU
SIPEF,BE0003898187,SIP,Euronext_Brussels,XBRU
SMARTPHOTO_GROUP,BE0003663748,SMAR,Euronext_Brussels,XBRU
SOFINA,BE0003717312,SOF,Euronext_Brussels,XBRU
SOLVAC_NOM(RETAIL),BE0003545531,SOLV,Euronext_Brussels,XBRU
SOLVAY,BE0003470755,SOLB,Euronext_Brussels,XBRU
SPADEL,BE0003798155,SPA,Euronext_Brussels,XBRU
ST.GUDULE-PL._CERT,BE0003620318,SAIG,Euronext_Brussels,XBRU
SUCRAF_A_&_B,BE0003463685,SUCR,Euronext_Brussels,XBRU
TELENET_GROUP,BE0003826436,TNET,Euronext_Brussels,XBRU
TER_BEKE,BE0003573814,TERB,Euronext_Brussels,XBRU
TESSENDERLO,BE0003555639,TESB,Euronext_Brussels,XBRU
TEXAF,BE0974263924,TEXF,Euronext_Brussels,XBRU
THROMBOGENICS,BE0003846632,THR,Euronext_Brussels,XBRU
TIGENIX,BE0003864817,TIG,Euronext_Brussels,XBRU
TINC,BE0974282148,TINC,Euronext_Brussels,XBRU
TUBIZE-FIN,BE0003823409,TUB,Euronext_Brussels,XBRU
UCB,BE0003739530,UCB,Euronext_Brussels,XBRU
UMICORE,BE0003884047,UMI,Euronext_Brussels,XBRU
UNITRONICS,IL0010838311,UNITB,Euronext_Brussels,XBRU
VAN_DE_VELDE,BE0003839561,VAN,Euronext_Brussels,XBRU
VASTNED_RETAIL_BEL,BE0003754687,VASTB,Euronext_Brussels,XBRU
VGP,BE0003878957,VGP,Euronext_Brussels,XBRU
VIOHALCO,BE0974271034,VIO,Euronext_Brussels,XBRU
WAREHOUSES,BE0003734481,WEB,Euronext_Brussels,XBRU
WDP,BE0003763779,WDP,Euronext_Brussels,XBRU
WERELDHAVE_BELGIUM,BE0003724383,WEHB,Euronext_Brussels,XBRU
WOL._EXTENS._CERT,BE0003600112,WOLE,Euronext_Brussels,XBRU
WOL._SHOPPING_CERT,BE0003571792,WOLS,Euronext_Brussels,XBRU
XIOR,BE0974288202,XIOR,Euronext_Brussels,XBRU
ZENITEL,BE0974311434,ZENT,Euronext_Brussels,XBRU
ZENOBE_GRAMME_CERT,BE0003809267,ZEN,Euronext_Brussels,XBRU
ZETES_INDUSTRIES,BE0003827442,ZTS,Euronext_Brussels,XBRU
ALTRI_SGPS,PTALT0AE0002,ALTR,Euronext_Lisbon,XLIS
B.COM.PORTUGUES,PTBCP0AM0015,BCP,Euronext_Lisbon,XLIS
BANCO_BPI,PTBPI0AM0004,BPI,Euronext_Lisbon,XLIS
BANCO_SANTANDER,ES0113900J37,SANT,Euronext_Lisbon,XLIS
BENFICA,PTSLB0AM0010,SLBEN,Euronext_Lisbon,XLIS
COMPTA,PTCOM0AE0007,COMAE,Euronext_Lisbon,XLIS
CORTICEIRA_AMORIM,PTCOR0AE0006,COR,Euronext_Lisbon,XLIS
CTT_CORREIOS_PORT,PTCTT0AM0001,CTT,Euronext_Lisbon,XLIS
EDP,PTEDP0AM0009,EDP,Euronext_Lisbon,XLIS
EDP_RENOVAVEIS,ES0127797019,EDPR,Euronext_Lisbon,XLIS
ESTORIL_SOL_N,PTESO0AM0000,ESON,Euronext_Lisbon,XLIS
ESTORIL_SOL_P,PTESO0AE0000,ESO,Euronext_Lisbon,XLIS
EURONEXT,NL0006294274,ENXP,Euronext_Lisbon,XLIS
F.RAMA,PTFRV0AE0004,RAM,Euronext_Lisbon,XLIS
FUT.CLUBE_PORTO,PTFCP0AM0008,FCP,Euronext_Lisbon,XLIS
GALP_ENERGIA-NOM,PTGAL0AM0009,GALP,Euronext_Lisbon,XLIS
GLINTT,PTPAD0AM0007,GLINT,Euronext_Lisbon,XLIS
IMOB.C_GRAO_PARA,PTGPA0AP0007,GPA,Euronext_Lisbon,XLIS
INAPA-INV.P.GESTAO,PTINA0AP0008,INA,Euronext_Lisbon,XLIS
INAPA-PREF_S/_VOTO,PTINA2VP0019,INAP,Euronext_Lisbon,XLIS
LISGRAFICA,PTLIG0AE0002,LIG,Euronext_Lisbon,XLIS
LUZ_SAUDE,PTEPT0AM0005,LUZ,Euronext_Lisbon,XLIS
MARTIFER,PTMFR0AM0003,MAR,Euronext_Lisbon,XLIS
MEDIA_CAPITAL,PTGMC0AM0003,MCP,Euronext_Lisbon,XLIS
MONTEPIO,PTCMHUIM0015,MPIO,Euronext_Lisbon,XLIS
MOTA_ENGIL,PTMEN0AE0005,EGL,Euronext_Lisbon,XLIS
OREY_ANTUNES_ESC.,PTORE0AM0002,ORE,Euronext_Lisbon,XLIS
PHAROL,PTPTC0AM0009,PHR,Euronext_Lisbon,XLIS
REN,PTREL0AM0008,RENE,Euronext_Lisbon,XLIS
SAG_GEST,PTSAG0AE0004,SVA,Euronext_Lisbon,XLIS
SDC_INV.,PTSCO0AE0004,SDCAE,Euronext_Lisbon,XLIS
SDC_INV.-PREF.,PTSCO0VE0009,SDCP,Euronext_Lisbon,XLIS
SEMAPA,PTSEM0AM0004,SEM,Euronext_Lisbon,XLIS
SONAE,PTSON0AM0001,SON,Euronext_Lisbon,XLIS
SONAE_CAPITAL,PTSNP0AE0008,SONC,Euronext_Lisbon,XLIS
SONAE_IND.SGPS,PTS3P0AM0017,SONI,Euronext_Lisbon,XLIS
SPORTING,PTSCP0AM0001,SCP,Euronext_Lisbon,XLIS
SUMOL+COMPAL,PTSML0AM0009,SUCO,Euronext_Lisbon,XLIS
TEIXEIRA_DUARTE,PTTD10AM0000,TDSA,Euronext_Lisbon,XLIS
THE_NAVIGATOR_COMP,PTPTI0AM0006,NVG,Euronext_Lisbon,XLIS
TOYOTA_CAETANO,PTSCT0AP0018,SCT,Euronext_Lisbon,XLIS
VAA_VISTA_ALEGRE,PTVAA0AE0001,VAF,Euronext_Lisbon,XLIS
A.S.T._GROUPE,FR0000076887,ASP,Euronext_Paris,XPAR
AB_SCIENCE,FR0010557264,AB,Euronext_Paris,XPAR
ABBVIE,US00287Y1091,ABBV,Euronext_Paris,XPAR
ABC_ARBITRAGE,FR0004040608,ABCA,Euronext_Paris,XPAR
ABEO,FR0013185857,ABEO,Euronext_Paris,XPAR
ABIVAX,FR0012333284,ABVX,Euronext_Paris,XPAR
ACANTHE_DEV.,FR0000064602,ACAN,Euronext_Paris,XPAR
ACCOR,FR0000120404,AC,Euronext_Paris,XPAR
ACTEOS,FR0000076861,EOS,Euronext_Paris,XPAR
ACTIA_GROUP,FR0000076655,ATI,Euronext_Paris,XPAR
ADC_SIIC,BE0974269012,ALDV,Euronext_Paris,XPAR
ADL_PARTNER,FR0000062978,ALP,Euronext_Paris,XPAR
ADOCIA,FR0011184241,ADOC,Euronext_Paris,XPAR
ADP,FR0010340141,ADP,Euronext_Paris,XPAR
ADVENIS,FR0004152874,ADV,Euronext_Paris,XPAR
ADVINI,FR0000053043,ADVI,Euronext_Paris,XPAR
AFFINE_R.E.,FR0000036105,IML,Euronext_Paris,XPAR
AFONE,FR0000044612,AFO,Euronext_Paris,XPAR
AGTA_RECORD,CH0008853209,AGTA,Euronext_Paris,XPAR
AIR_FRANCE_-KLM,FR0000031122,AF,Euronext_Paris,XPAR
AIR_LIQUIDE,FR0000120073,AI,Euronext_Paris,XPAR
AIRBUS,NL0000235190,AIR,Euronext_Paris,XPAR
AKKA_TECHNOLOGIES,FR0004180537,AKA,Euronext_Paris,XPAR
ALBIOMA,FR0000060402,ABIO,Euronext_Paris,XPAR
ALPES_(COMPAGNIE),FR0000053324,CDA,Euronext_Paris,XPAR
ALPHA_MOS,FR0000062804,ALM,Euronext_Paris,XPAR
ALSTOM,FR0010220475,ALO,Euronext_Paris,XPAR
ALSTOM_NV,FR0013245776,ALONV,Euronext_Paris,XPAR
ALTAMIR,FR0000053837,LTA,Euronext_Paris,XPAR
ALTAREA,FR0000033219,ALTA,Euronext_Paris,XPAR
ALTAREIT,FR0000039216,AREIT,Euronext_Paris,XPAR
ALTEN,FR0000071946,ATE,Euronext_Paris,XPAR
ALTRAN_TECHN.,FR0000034639,ALT,Euronext_Paris,XPAR
ALTUR_INVEST.,FR0010395681,ALTUR,Euronext_Paris,XPAR
AMOEBA,FR0011051598,AMEBA,Euronext_Paris,XPAR
AMPLITUDE_SURGICAL,FR0012789667,AMPLI,Euronext_Paris,XPAR
AMUNDI,FR0004125920,AMUN,Euronext_Paris,XPAR
ANF_IMMOBILIER,FR0000063091,ANF,Euronext_Paris,XPAR
APRIL,FR0004037125,APR,Euronext_Paris,XPAR
ARCHOS,FR0000182479,JXR,Euronext_Paris,XPAR
AREVA,FR0011027143,AREVA,Euronext_Paris,XPAR
ARGAN,FR0010481960,ARG,Euronext_Paris,XPAR
ARKEMA,FR0010313833,AKE,Euronext_Paris,XPAR
ARKEMA_NV,FR0013222932,AKENV,Euronext_Paris,XPAR
ARTEA,FR0012185536,ARTE,Euronext_Paris,XPAR
ARTOIS_NOM.,FR0000076952,ARTO,Euronext_Paris,XPAR
ARTPRICE_COM,FR0000074783,PRC,Euronext_Paris,XPAR
ASK,FR0011980077,ASK,Euronext_Paris,XPAR
ASSYSTEM,FR0000074148,ASY,Euronext_Paris,XPAR
ATARI,FR0010478248,ATA,Euronext_Paris,XPAR
ATEME,FR0011992700,ATEME,Euronext_Paris,XPAR
ATOS,FR0000051732,ATO,Euronext_Paris,XPAR
ATOS_SE_NV,FR0013227550,ATONV,Euronext_Paris,XPAR
ATTIJARIWAFA_BANK,MA0000011827,BCMA,Euronext_Paris,XPAR
AUBAY,FR0000063737,AUB,Euronext_Paris,XPAR
AUFEMININ,FR0004042083,FEM,Euronext_Paris,XPAR
AUGROS_COSMETICS,FR0000061780,AUGR,Euronext_Paris,XPAR
AUREA,FR0000039232,AURE,Euronext_Paris,XPAR
AURES_TECHNOLOGIES,FR0013183589,AURS,Euronext_Paris,XPAR
AVANQUEST,FR0004026714,AVQ,Euronext_Paris,XPAR
AVENIR_TELECOM,FR0000066052,AVT,Euronext_Paris,XPAR
AVIATION_LATECOERE,FR0000032278,LAT,Euronext_Paris,XPAR
AWOX,FR0011800218,AWOX,Euronext_Paris,XPAR
AXA,FR0000120628,CS,Euronext_Paris,XPAR
AXWAY_SOFTWARE,FR0011040500,AXW,Euronext_Paris,XPAR
BACCARAT,FR0000064123,BCRA,Euronext_Paris,XPAR
BAINS_MER_MONACO,MC0000031187,BAIN,Euronext_Paris,XPAR
BARBARA_BUI,FR0000062788,BUI,Euronext_Paris,XPAR
BASTIDE_LE_CONFORT,FR0000035370,BLC,Euronext_Paris,XPAR
BELIER,FR0000072399,BELI,Euronext_Paris,XPAR
BENETEAU,FR0000035164,BEN,Euronext_Paris,XPAR
BENI_STABILI,IT0001389631,BNS,Euronext_Paris,XPAR
BIC,FR0000120966,BB,Euronext_Paris,XPAR
BIGBEN_INTERACTIVE,FR0000074072,BIG,Euronext_Paris,XPAR
BIOMERIEUX,FR0010096479,BIM,Euronext_Paris,XPAR
BLEECKER,FR0000062150,BLEE,Euronext_Paris,XPAR
BLUE,FR0011592104,BLUE,Euronext_Paris,XPAR
BNP_PARIBAS_ACT.A,FR0000131104,BNP,Euronext_Paris,XPAR
BOIRON,FR0000061129,BOI,Euronext_Paris,XPAR
BOLLORE,FR0000039299,BOL,Euronext_Paris,XPAR
BOLLORE_NV,FR0013201365,BOLNV,Euronext_Paris,XPAR
BONDUELLE,FR0000063935,BON,Euronext_Paris,XPAR
BOURBON_CORP.,FR0004548873,GBB,Euronext_Paris,XPAR
BOURSE_DIRECT,FR0000074254,BSD,Euronext_Paris,XPAR
BOUYGUES,FR0000120503,EN,Euronext_Paris,XPAR
BRAS.OUEST_AFRIC.,SN0008626971,BOAF,Euronext_Paris,XPAR
BRASSERIE_CAMEROUN,CM0000035113,BCAM,Euronext_Paris,XPAR
BUREAU_VERITAS,FR0006174348,BVI,Euronext_Paris,XPAR
BURELLE,FR0000061137,BUR,Euronext_Paris,XPAR
BUSINESS_ET_DECIS.,FR0000078958,BND,Euronext_Paris,XPAR
CA_TOULOUSE_31_CCI,FR0000045544,CAT31,Euronext_Paris,XPAR
CAFOM,FR0010151589,CAFO,Euronext_Paris,XPAR
CAMBODGE_NOM.,FR0000079659,CBDG,Euronext_Paris,XPAR
CAP_GEMINI,FR0000125338,CAP,Euronext_Paris,XPAR
CAPELLI,FR0012969095,CAPLI,Euronext_Paris,XPAR
CARDETY,FR0010828137,CARD,Euronext_Paris,XPAR
CARPINIENNE_PART.,FR0000064156,CARP,Euronext_Paris,XPAR
CARREFOUR,FR0000120172,CA,Euronext_Paris,XPAR
CASINO_GUICHARD,FR0000125585,CO,Euronext_Paris,XPAR
CAST,FR0000072894,CAS,Euronext_Paris,XPAR
CATANA_GROUP,FR0010193052,CATG,Euronext_Paris,XPAR
CATERING_INTL_SCES,FR0000064446,CTRG,Euronext_Paris,XPAR
CATERPILLAR_INC,US1491231015,CATR,Euronext_Paris,XPAR
CBO_TERRITORIA,FR0010193979,CBOT,Euronext_Paris,XPAR
CCA_INTERNATIONAL,FR0000078339,CCA,Euronext_Paris,XPAR
CEGEDIM,FR0000053506,CGM,Euronext_Paris,XPAR
CEGEREAL,FR0010309096,CGR,Euronext_Paris,XPAR
CEGID_GROUP,FR0000124703,CGD,Euronext_Paris,XPAR
CEGIDBAAR1NOV2017,FR0010928093,CGDBA,Euronext_Paris,XPAR
CEGIDBAAR2NOV2018,FR0010928119,CGDBB,Euronext_Paris,XPAR
CELLNOVO,FR0012633360,CLNV,Euronext_Paris,XPAR
CERENIS,FR0012616852,CEREN,Euronext_Paris,XPAR
CFI,FR0000037475,CFI,Euronext_Paris,XPAR
CGG,FR0013181864,CGG,Euronext_Paris,XPAR
CHARGEURS,FR0000130692,CRI,Euronext_Paris,XPAR
CHAUF.URB.,FR0000052896,CHAU,Euronext_Paris,XPAR
CHAUSSERIA,FR0000060907,CHSR,Euronext_Paris,XPAR
CHRISTIAN_DIOR,FR0000130403,CDI,Euronext_Paris,XPAR
CIBOX_INTER_A_CTIV,FR0000054322,CIB,Euronext_Paris,XPAR
CIC,FR0005025004,CC,Euronext_Paris,XPAR
CNIM_CONSTR.FRF_10,FR0000053399,COM,Euronext_Paris,XPAR
CNOVA,NL0010949392,CNV,Euronext_Paris,XPAR
CNP_ASSURANCES,FR0000120222,CNP,Euronext_Paris,XPAR
COFACE,FR0010667147,COFA,Euronext_Paris,XPAR
COHERIS,FR0004031763,COH,Euronext_Paris,XPAR
COLAS,FR0000121634,RE,Euronext_Paris,XPAR
CONSTELLIUM,NL0010489522,CSTM,Euronext_Paris,XPAR
COURTOIS,FR0000065393,COUR,Euronext_Paris,XPAR
CRCAM_ALP.PROV.CCI,FR0000044323,CRAP,Euronext_Paris,XPAR
CRCAM_ATL.VEND.CCI,FR0000185506,CRAV,Euronext_Paris,XPAR
CRCAM_BRIE_PIC2CCI,FR0010483768,CRBP2,Euronext_Paris,XPAR
CRCAM_ILLE-VIL.CCI,FR0000045213,CIV,Euronext_Paris,XPAR
CRCAM_LANGUED_CCI,FR0010461053,CRLA,Euronext_Paris,XPAR
CRCAM_LOIRE_HTE_L.,FR0000045239,CRLO,Euronext_Paris,XPAR
CRCAM_MORBIHAN_CCI,FR0000045551,CMO,Euronext_Paris,XPAR
CRCAM_NORD_CCI,FR0000185514,CNF,Euronext_Paris,XPAR
CRCAM_NORM.SEINE,FR0000044364,CCN,Euronext_Paris,XPAR
CRCAM_PARIS_ET_IDF,FR0000045528,CAF,Euronext_Paris,XPAR
CRCAM_SUD_R.A.CCI,FR0000045346,CRSU,Euronext_Paris,XPAR
CRCAM_TOURAINE_CCI,FR0000045304,CRTO,Euronext_Paris,XPAR
CREDIT_AGRICOLE,FR0000045072,ACA,Euronext_Paris,XPAR
CROSSWOOD,FR0000050395,CROS,Euronext_Paris,XPAR
CS_(COMM.SYSTEMES),FR0007317813,SX,Euronext_Paris,XPAR
DALET,FR0011026749,DLT,Euronext_Paris,XPAR
DANE_ELEC_MEMORY,FR0000036774,DAN,Euronext_Paris,XPAR
