Nom,Isin,Symbole,Marche,Mic,Nom
BTG_GDS-APN,US05890C2044,BTGA,Euronext_Amsterdam,XAMS,KIADIS
BTG_GDS-CS,US05890C1053,BTGB,Euronext_Amsterdam,XAMS,PHILIP_MORRIS_INTL
BTG-BPP_EUR_UNIT,US05890C3034,BTGP,Euronext_Amsterdam,XAMS,ZENOBE_GRAMME_CERT
COCA-COLA_EUROPEAN,GB00BDCPN049,CCE,Euronext_Amsterdam,XAMS,DAMARTEX
CORBION,NL0010583399,CRBN,Euronext_Amsterdam,XAMS,SOFRAGI
CORE_LABORATORIES,NL0000200384,CLB,Euronext_Amsterdam,XAMS,IMPLANET
CTAC,NL0000345577,CTAC,Euronext_Amsterdam,XAMS,DELFINGEN
CURETIS,NL0011509294,CURE,Euronext_Amsterdam,XAMS,HIGH_CO
DELTA_LLOYD,NL0009294552,DL,Euronext_Amsterdam,XAMS,NEXTEDIA
DOC_DATA,NL0000345627,DOCD,Euronext_Amsterdam,XAMS,COFIDUR
DPA_GROUP,NL0009197771,DPA,Euronext_Amsterdam,XAMS,IDI
DSM_KON,NL0000009827,DSM,Euronext_Amsterdam,XAMS,OSE_IMMUNO
ESPERITE,NL0009272137,ESP,Euronext_Amsterdam,XAMS,CAPELLI
EUROCASTLE_INVEST.,GB00B94QM994,ECT,Euronext_Amsterdam,XAMS,BEAULIEU-AV._CERT
EUROCOMMERCIAL,NL0000288876,ECMPA,Euronext_Amsterdam,XAMS,BANCO_BILBAO_VIZC.
FLOW_TRADERS,NL0011279492,FLOW,Euronext_Amsterdam,XAMS,VEON
FNG_N.V.,NL0012047849,FNG,Euronext_Amsterdam,XAMS,GENKYOTEX
FORFARMERS,NL0011832811,FFARM,Euronext_Amsterdam,XAMS,ELEC.STRASBOURG
FUGRO,NL0000352565,FUR,Euronext_Amsterdam,XAMS,TIKEHAU_CAPITAL
GALAPAGOS,BE0003818359,GLPG,Euronext_Amsterdam,XAMS,HARVEST
GEMALTO,NL0000400653,GTO,Euronext_Amsterdam,XAMS,IMMOBEL
GRANDVISION,NL0010937066,GVNV,Euronext_Amsterdam,XAMS,MONTAIGNE_FASHION
GROOTHANDELSGEBOUW,NL0000440824,GROHA,Euronext_Amsterdam,XAMS,SCBSM
HAL_TRUST,BMG455841020,HAL,Euronext_Amsterdam,XAMS,DOCK.PETR.AMBES_AM
HeadFirst_Source_G,CWN814651014,HFS,Euronext_Amsterdam,XAMS,AUREA
HEIJMANS,NL0009269109,HEIJM,Euronext_Amsterdam,XAMS,INVENTIVA
HEINEKEN,NL0000009165,HEIA,Euronext_Amsterdam,XAMS,PROBIODRUG
HEINEKEN_HOLDING,NL0000008977,HEIO,Euronext_Amsterdam,XAMS,M.R.M
HOLLAND_COLOURS,NL0000440311,HOLCO,Euronext_Amsterdam,XAMS,ACTEOS
HUNTER_DOUGLAS,ANN4327C1220,HDG,Euronext_Amsterdam,XAMS,GROUPE_PARTOUCHE
HUNTER_DOUGLAS,ANN4327C1303,HUNDP,Euronext_Amsterdam,XAMS,MCPHY_ENERGY
HYDRATEC,NL0009391242,HYDRA,Euronext_Amsterdam,XAMS,FIPP
ICT_GROUP,NL0000359537,ICT,Euronext_Amsterdam,XAMS,THROMBOGENICS
IEX_GROUP_NV,NL0010556726,IEX,Euronext_Amsterdam,XAMS,CRCAM_LANGUED_CCI
IMCD,NL0010801007,IMCD,Euronext_Amsterdam,XAMS,CNIM_CONSTR.FRF_10
ING_GROEP_N.V.,NL0011821202,INGA,Euronext_Amsterdam,XAMS,SAMSE
INTERTRUST,NL0010937058,INTER,Euronext_Amsterdam,XAMS,ALSTOM_NV
INVERKO,NL0011495189,INVER,Euronext_Amsterdam,XAMS,BRASSERIE_CAMEROUN
KARDAN,NL0000113652,KARD,Euronext_Amsterdam,XAMS,HIOLLE_INDUSTRIES
KAS_BANK,NL0000362648,KA,Euronext_Amsterdam,XAMS,DESIGN_YOUR_HOME
KENDRION,NL0000852531,KENDR,Euronext_Amsterdam,XAMS,SPINEGUARD
KIADIS,NL0011323407,KDS,Euronext_Amsterdam,XAMS,CIE_DU_MONT_BLANC
KPN_KON,NL0000009082,KPN,Euronext_Amsterdam,XAMS,PICANOL
LAVIDE_HOLDING,NL0010545679,LVIDE,Euronext_Amsterdam,XAMS,ONCODESIGN
LUCASBOLS,NL0010998878,BOLS,Euronext_Amsterdam,XAMS,GENK_LOGIST._CERT
NB_PRIV_EQ_PARTN,GG00B1ZBD492,NBPE,Euronext_Amsterdam,XAMS,COHERIS
NEDAP,NL0000371243,NEDAP,Euronext_Amsterdam,XAMS,ASK
NEDSENSE_ENTERPR,NL0009312842,NEDSE,Euronext_Amsterdam,XAMS,ALES_GROUPE
NEW_SOURCES_ENERGY,NL0009822014,NSE,Euronext_Amsterdam,XAMS,ANEVIA
NEWAYS_ELECTRONICS,NL0000440618,NEWAY,Euronext_Amsterdam,XAMS,SUPERSONIC_IMAGIDS
NN_GROUP,NL0010773842,NN,Euronext_Amsterdam,XAMS,GUILLEMOT
NOVISOURCE,NL0010696704,NOVI,Euronext_Amsterdam,XAMS,GDS_MOULINS_STRAS.
NSI,NL0000292324,NSI,Euronext_Amsterdam,XAMS,ZCCM
OCI,NL0010558797,OCI,Euronext_Amsterdam,XAMS,TELEVERBIER
ORANJEWOUD_A,NL0000370419,ORANW,Euronext_Amsterdam,XAMS,NEW_SOURCES_ENERGY
ORDINA,NL0000440584,ORDI,Euronext_Amsterdam,XAMS,LESNXCONSTRUCTEURS
PERSHING,GG00BPFJTF46,PSH,Euronext_Amsterdam,XAMS,INDLE_FIN.ENTREPR.
PHARMING_GROUP,NL0010391025,PHARM,Euronext_Amsterdam,XAMS,NETGEM
PHILIPS_BUY_BACK,NL0000009322,INPHI,Euronext_Amsterdam,XAMS,THERMADOR_GROUPE
PHILIPS_KON,NL0000009538,PHIA,Euronext_Amsterdam,XAMS,DBT
PHILIPS_LIGHTING,NL0011821392,LIGHT,Euronext_Amsterdam,XAMS,EURO_RESSOURCES
PORCELEYNE_FLES,NL0000378669,PORF,Euronext_Amsterdam,XAMS,GROUPE_VIAL
POSTNL,NL0009739416,PNL,Euronext_Amsterdam,XAMS,CHAUF.URB.
PROBIODRUG,DE0007921835,PBD,Euronext_Amsterdam,XAMS,MALTERIES_FCO-BEL.
RANDSTAD,NL0000379121,RAND,Euronext_Amsterdam,XAMS,HK
REFRESCO_GROUP,NL0011214010,RFRG,Euronext_Amsterdam,XAMS,IMMO_MCC
RELX,NL0006144495,REN,Euronext_Amsterdam,XAMS,DIAGEO
ROODMICROTEC,NL0000440477,ROOD,Euronext_Amsterdam,XAMS,LAURENT-PERRIER
ROODMICROTECWAR2,NL0011556972,WROD2,Euronext_Amsterdam,XAMS,BANCO_BPI
ROYAL_DUTCH_SHELLA,GB00B03MLX29,RDSA,Euronext_Amsterdam,XAMS,CTAC
ROYAL_DUTCH_SHELLB,GB00B03MM408,RDSB,Euronext_Amsterdam,XAMS,POULAILLON
SBM_OFFSHORE,NL0000360618,SBMO,Euronext_Amsterdam,XAMS,XIOR
SIF_HOLDING,NL0011660485,SIFG,Euronext_Amsterdam,XAMS,GFI_INFORMATIQUE
SLIGRO_FOOD_GROUP,NL0000817179,SLIGR,Euronext_Amsterdam,XAMS,SAFE_ORTHOPAEDICS
SNOWWORLD,NL0010627865,SNOW,Euronext_Amsterdam,XAMS,FASHION_B_AIR
STERN_GROEP,NL0000336303,STRN,Euronext_Amsterdam,XAMS,THALES_NV
TAKEAWAY,NL0012015705,TKWY,Euronext_Amsterdam,XAMS,BOUSSARD_GAVAUDAN
TELEGRAAF_MEDIA_GR,NL0000386605,TMG,Euronext_Amsterdam,XAMS,AUFEMININ
TETRAGON_FIN_GRP,GG00B1RMC548,TFG,Euronext_Amsterdam,XAMS,ITS_GROUP
THUNDERBIRD,VGG885761061,TBIRD,Euronext_Amsterdam,XAMS,MIKO
TIE_KINETIX,NL0010389508,TIE,Euronext_Amsterdam,XAMS,DEUTSCHE_TELEKOM
TKH_GROUP,NL0000852523,TWEKA,Euronext_Amsterdam,XAMS,ORCHESTRA-PREMAMAN
TOMTOM,NL0000387058,TOM2,Euronext_Amsterdam,XAMS,CERINNOV_GROUP
UNIBAIL-RODAMCO,FR0000124711,UL,Euronext_Amsterdam,XAMS,ROULARTA
UNILEVER_6%,NL0000388742,UNCP6,Euronext_Amsterdam,XAMS,DOC_DATA
UNILEVER_7%,NL0000388726,UNCP7,Euronext_Amsterdam,XAMS,ECOSLOPS
UNILEVER_DR,NL0000009355,UNA,Euronext_Amsterdam,XAMS,IGE_+_XAO
UNILEVER_DR7CP,NL0000388684,UNCC7,Euronext_Amsterdam,XAMS,DIAXONHIT
UNILEVER_OS,NL0000388619,UNIA,Euronext_Amsterdam,XAMS,EXEL_INDUSTRIES
VALUE8,NL0010661864,VALUE,Euronext_Amsterdam,XAMS,EUROPACORP
VALUE8_CUM_PREF,NL0009875483,PREVA,Euronext_Amsterdam,XAMS,ACCSYS
VAN_LANSCHOT,NL0000302636,LANS,Euronext_Amsterdam,XAMS,MANUTAN_INTL
VASTNED,NL0000288918,VASTN,Euronext_Amsterdam,XAMS,OL_GROUPE
VEON,BMG9349W1038,VEON,Euronext_Amsterdam,XAMS,CFM_INDOSUEZWEALTH
VERENIGDE_NED_COMP,NL0009169515,VNC,Euronext_Amsterdam,XAMS,EVOLIS
VOLKERWESSELS,NL0012294466,KVW,Euronext_Amsterdam,XAMS,PATRIS
VOLTA_FINANCE,GG00B1GHHH78,VTA,Euronext_Amsterdam,XAMS,ADA
VOPAK,NL0009432491,VPK,Euronext_Amsterdam,XAMS,SIDETRADE
WERELDHAVE,NL0000289213,WHA,Euronext_Amsterdam,XAMS,NEURONES
WESSANEN,NL0000395317,WES,Euronext_Amsterdam,XAMS,AURES_TECHNOLOGIES
WOLTERS_KLUWER,NL0000395903,WKL,Euronext_Amsterdam,XAMS,GAUSSIN
YATRA,JE00B1FBT077,YATRA,Euronext_Amsterdam,XAMS,ENERTIME
4ENERGY_INVEST,BE0974275076,ENINV,Euronext_Brussels,XBRU,CH.FER_DEPARTEMENT
AB_INBEV,BE0974293251,ABI,Euronext_Brussels,XBRU,VIEL_ET_COMPAGNIE
ABLYNX,BE0003877942,ABLX,Euronext_Brussels,XBRU,CRCAM_TOURAINE_CCI
ABO_GROUP,BE0974278104,ABO,Euronext_Brussels,XBRU,MILIBOO
ACCENTIS,BE0003696102,ACCB,Euronext_Brussels,XBRU,LOCINDUS
ACKERMANS_V.HAAREN,BE0003764785,ACKB,Euronext_Brussels,XBRU,PATRIMOINE_ET_COMM
AEDIFICA,BE0003851681,AED,Euronext_Brussels,XBRU,SMARTPHOTO_GROUP
AGEAS,BE0974264930,AGS,Euronext_Brussels,XBRU,VERENIGDE_NED_COMP
AGFA-GEVAERT,BE0003755692,AGFB,Euronext_Brussels,XBRU,ADVENIS
ANTARES_CERT,BE0003676872,ANT,Euronext_Brussels,XBRU,GENOWAY
ARGENX_SE,NL0010832176,ARGX,Euronext_Brussels,XBRU,CIBOX_INTER_A_CTIV
ASCENCIO,BE0003856730,ASC,Euronext_Brussels,XBRU,CRCAM_ILLE-VIL.CCI
ASIT,BE0974289218,ASIT,Euronext_Brussels,XBRU,MEDIA_CAPITAL
ATENOR,BE0003837540,ATEB,Euronext_Brussels,XBRU,GENERIX
BANIMMO_A,BE0003870871,BANI,Euronext_Brussels,XBRU,INTEL_CORP
BARCO,BE0003790079,BAR,Euronext_Brussels,XBRU,HF
BASILIX_CERT,BE0003674851,BAS,Euronext_Brussels,XBRU,KEYYO
BEAULIEU-AV._CERT,BE0003661726,BEAB,Euronext_Brussels,XBRU,JENSEN-GROUP
BEFIMMO,BE0003678894,BEFB,Euronext_Brussels,XBRU,SIGNAUX_GIROD
BEKAERT,BE0974258874,BEKB,Euronext_Brussels,XBRU,GROUPE_SFPI
BELRECA,BE0020575115,BELR,Euronext_Brussels,XBRU,ASIT
BELUGA,BE0003723377,BELU,Euronext_Brussels,XBRU,BANIMMO_A
BIOCARTIS,BE0974281132,BCART,Euronext_Brussels,XBRU,BATENBURG_TECHNIEK
BONE_THERAPEUTICS,BE0974280126,BOTHE,Euronext_Brussels,XBRU,ROUGIER_S.A.
BPOST,BE0974268972,BPOST,Euronext_Brussels,XBRU,I2S
BQUE_NAT._BELGIQUE,BE0003008019,BNB,Euronext_Brussels,XBRU,PAREF
BREDERODE,LU1068091351,BREB,Euronext_Brussels,XBRU,IDSUD
CAMPINE,BE0003825420,CAMB,Euronext_Brussels,XBRU,GEVELOT
CARE_PROPERTY_INV.,BE0974273055,CPINV,Euronext_Brussels,XBRU,MERCK_AND_CO_INC
CELYAD,BE0974260896,CYAD,Euronext_Brussels,XBRU,GROOTHANDELSGEBOUW
CENERGY,BE0974303357,CENER,Euronext_Brussels,XBRU,DIAGNOSTIC_BS
CFE,BE0003883031,CFEB,Euronext_Brussels,XBRU,TELECOM_ITALIA_SPA
CIE_BOIS_SAUVAGE,BE0003592038,COMB,Euronext_Brussels,XBRU,DNXCORP
COFINIMMO,BE0003593044,COFB,Euronext_Brussels,XBRU,BROOKFIELD_ASSET_M
COFINIMMO_PRIV1,BE0003811289,COFP1,Euronext_Brussels,XBRU,MR_BRICOLAGE
COFINIMMO_PRIV2,BE0003813301,COFP2,Euronext_Brussels,XBRU,RORENTO_CLASS_DH_E
COLRUYT,BE0974256852,COLR,Euronext_Brussels,XBRU,WITBE
CONNECT_GROUP,BE0003786036,CONN,Euronext_Brussels,XBRU,AVENIR_TELECOM
D''IETEREN,BE0974259880,DIE,Euronext_Brussels,XBRU,CORE_LABORATORIES
DALENYS,BE0946620946,NYS,Euronext_Brussels,XBRU,AND_INTERNATIONAL
DECEUNINCK,BE0003789063,DECB,Euronext_Brussels,XBRU,FONCIERE_EURIS
DEXIA,BE0974290224,DEXB,Euronext_Brussels,XBRU,YMAGIS
DIEGEM_KENNEDYCERT,BE0003698124,DIEG,Euronext_Brussels,XBRU,4ENERGY_INVEST
DISTRI-LAND_CERT,BE0003605160,DISL,Euronext_Brussels,XBRU,IMMOB.DASSAULT
ECKERT-ZIEGLER_BG,BE0974300320,EZBG,Euronext_Brussels,XBRU,PLANT_ADVANCED
ECONOCOM_GROUP,BE0974266950,ECONB,Euronext_Brussels,XBRU,GROUPE_FLO
ELIA,BE0003822393,ELI,Euronext_Brussels,XBRU,SPIR_COMMUNICATION
ENVIPCO,NL0009901610,ENVI,Euronext_Brussels,XBRU,SOFIBUS_PATRIMOINE
EURONAV,BE0003816338,EURN,Euronext_Brussels,XBRU,INSTALLUX
EVS_BROADC.EQUIPM.,BE0003820371,EVS,Euronext_Brussels,XBRU,GUERBET_NV
EXMAR,BE0003808251,EXM,Euronext_Brussels,XBRU,ASSICURAZ.GEN.ORD.
FAGRON,BE0003874915,FAGR,Euronext_Brussels,XBRU,LUZ_SAUDE
FLORIDIENNE,BE0003215143,FLOB,Euronext_Brussels,XBRU,BELRECA
FLUXYS_BELGIUM_D,BE0974265945,FLUX,Euronext_Brussels,XBRU,LANSON-BCC
FOUNTAIN,BE0003752665,FOU,Euronext_Brussels,XBRU,VERIZON_COMM.
GBL,BE0003797140,GBLB,Euronext_Brussels,XBRU,QUANGENBS15SEP2018
GENK_LOGIST._CERT,BE0003740546,GENK,Euronext_Brussels,XBRU,BAINS_MER_MONACO
GIMV,BE0003699130,GIMB,Euronext_Brussels,XBRU,ROODMICROTEC
GLOBAL_GRAPHICS,GB00BYN5BY03,GLOG,Euronext_Brussels,XBRU,DRONE_VOLT
GREENYARD,BE0003765790,GREEN,Euronext_Brussels,XBRU,SQLI_BSAR042018
HAMON,BE0003700144,HAMO,Euronext_Brussels,XBRU,MONCEY_(FIN.)_NOM.
HOME_INVEST_BE.,BE0003760742,HOMI,Euronext_Brussels,XBRU,TELEFONICA
IBA,BE0003766806,IBAB,Euronext_Brussels,XBRU,CONCOURSMANIA
IEP_INVEST,BE0003748622,IEP,Euronext_Brussels,XBRU,ORAPI
IMMO_MCC,BE0974287196,MCC,Euronext_Brussels,XBRU,CYBERGUN
IMMO_MOURY,BE0003893139,IMMOU,Euronext_Brussels,XBRU,LUX-AIRPORT_CERT
IMMOBEL,BE0003599108,IMMO,Euronext_Brussels,XBRU,MADVERTISE
INTERVEST_OFF-WARE,BE0003746600,INTO,Euronext_Brussels,XBRU,OSMOZIS
JENSEN-GROUP,BE0003858751,JEN,Euronext_Brussels,XBRU,CISCO_SYSTEM_INC
KBC,BE0003565737,KBC,Euronext_Brussels,XBRU,PRISMAFLEX_INTL
KBC_ANCORA,BE0003867844,KBCA,Euronext_Brussels,XBRU,BOURSE_DIRECT
KEYWARE_TECH.,BE0003880979,KEYW,Euronext_Brussels,XBRU,GPE_GROUP_PIZZORNO
KINEPOLIS_GROUP,BE0974274061,KIN,Euronext_Brussels,XBRU,ANTEVENIO
KORTRIJK_SHOP.CERT,BE0003608198,KOR,Euronext_Brussels,XBRU,FIN.ETANG_BERRE
LEASINVEST,BE0003770840,LEAS,Euronext_Brussels,XBRU,SABETON
LOTUS_BAKERIES,BE0003604155,LOTB,Euronext_Brussels,XBRU,KKO_INTERNATIONAL
LUX-AIRPORT_CERT,LU0092846210,LUXA,Euronext_Brussels,XBRU,KEYWARE_TECH.
MDXHEALTH,BE0003844611,MDXH,Euronext_Brussels,XBRU,CRCAM_ALP.PROV.CCI
MEDIVISION,IL0010846314,MEDV,Euronext_Brussels,XBRU,PAYTON_PLANAR
MELEXIS,BE0165385973,MELE,Euronext_Brussels,XBRU,GAUMONT
MIKO,BE0003731453,MIKO,Euronext_Brussels,XBRU,LYSOGENE
MITHRA,BE0974283153,MITRA,Euronext_Brussels,XBRU,INNOVEOX
MONTEA_C.V.A.,BE0003853703,MONT,Euronext_Brussels,XBRU,LACROIX_SA
MOPOLI,NL0000488153,MOP,Euronext_Brussels,XBRU,SAPMER
MOPOLI_FOND,NL0000488161,MOPF,Euronext_Brussels,XBRU,SCANDINAVIAN_HOUSE
MOURY_CONSTRUCT,BE0003602134,MOUR,Euronext_Brussels,XBRU,CRCAM_MORBIHAN_CCI
NEUFCOUR-FIN.,BE0003680916,NEU,Euronext_Brussels,XBRU,NWE_NED_AM_HYP_BK
NR21,FR0004166155,NR21,Euronext_Brussels,XBRU,RAMSAY_GEN_SANTE
NYRSTAR,BE0974294267,NYR,Euronext_Brussels,XBRU,BACCARAT
OIM,GB00B063YS85,OIM,Euronext_Brussels,XBRU,ZENITEL
ONTEX_GROUP,BE0974276082,ONTEX,Euronext_Brussels,XBRU,REWORLD_MEDIA
OPTION,BE0003836534,OPTI,Euronext_Brussels,XBRU,PARFEX
ORANGE_BELGIUM,BE0003735496,OBEL,Euronext_Brussels,XBRU,MOPOLI_FOND
ORCOBSAAR1219,XS0290764728,ORCOW,Euronext_Brussels,XBRU,ASTELLIA
PAYTON_PLANAR,IL0010830391,PAY,Euronext_Brussels,XBRU,REALDOLMEN
PCB,BE0003503118,PCBB,Euronext_Brussels,XBRU,MOURY_CONSTRUCT
PICANOL,BE0003807246,PIC,Euronext_Brussels,XBRU,DPA_GROUP
PROXIMUS,BE0003810273,PROX,Euronext_Brussels,XBRU,MEMSCAP_REGPT
QRF,BE0974272040,QRF,Euronext_Brussels,XBRU,PCB
QUESTFOR_GR-PRICAF,BE0003730448,QFG,Euronext_Brussels,XBRU,UNION_PAC_CORP
REALDOLMEN,BE0003899193,REA,Euronext_Brussels,XBRU,MEDASYS
RECTICEL,BE0003656676,REC,Euronext_Brussels,XBRU,TIPIAK
RESILUX,BE0003707214,RES,Euronext_Brussels,XBRU,BRILL_KON
RETAIL_ESTATES,BE0003720340,RET,Euronext_Brussels,XBRU,ROBERTET_CI
ROSIER,BE0003575835,ENGB,Euronext_Brussels,XBRU,CS_(COMM.SYSTEMES)
ROULARTA,BE0003741551,ROU,Euronext_Brussels,XBRU,ASSIMA
RTL_GROUP,LU0061462528,RTL,Euronext_Brussels,XBRU,BOLLORE_NV
SABCA,BE0003654655,SAB,Euronext_Brussels,XBRU,MOPOLI
SAPEC,BE0003625366,SAP,Euronext_Brussels,XBRU,1000MERCIS
SCHEERD.V_KERCHOVE,BE0012378593,SCHD,Euronext_Brussels,XBRU,TEIXEIRA_DUARTE
SIOEN,BE0003743573,SIOE,Euronext_Brussels,XBRU,THERACLION
SIPEF,BE0003898187,SIP,Euronext_Brussels,XBRU,PRIMECITY
SMARTPHOTO_GROUP,BE0003663748,SMAR,Euronext_Brussels,XBRU,OCEASOFT
SOFINA,BE0003717312,SOF,Euronext_Brussels,XBRU,EDUNIVERSAL
SOLVAC_NOM(RETAIL),BE0003545531,SOLV,Euronext_Brussels,XBRU,PERRIER_(GERARD)
SOLVAY,BE0003470755,SOLB,Euronext_Brussels,XBRU,CAMBODGE_NOM.
SPADEL,BE0003798155,SPA,Euronext_Brussels,XBRU,CIMPOR
ST.GUDULE-PL._CERT,BE0003620318,SAIG,Euronext_Brussels,XBRU,CATERING_INTL_SCES
SUCRAF_A_&_B,BE0003463685,SUCR,Euronext_Brussels,XBRU,TRILOGIQ
TELENET_GROUP,BE0003826436,TNET,Euronext_Brussels,XBRU,XPO_LOGISTICS
TER_BEKE,BE0003573814,TERB,Euronext_Brussels,XBRU,AWOX
TESSENDERLO,BE0003555639,TESB,Euronext_Brussels,XBRU,TIVOLY
TEXAF,BE0974263924,TEXF,Euronext_Brussels,XBRU,FOUNTAIN
THROMBOGENICS,BE0003846632,THR,Euronext_Brussels,XBRU,SCHEERD.V_KERCHOVE
TIGENIX,BE0003864817,TIG,Euronext_Brussels,XBRU,WOL._EXTENS._CERT
TINC,BE0974282148,TINC,Euronext_Brussels,XBRU,SAVONNERIE_NYONS
TUBIZE-FIN,BE0003823409,TUB,Euronext_Brussels,XBRU,VIKTORIA_INVEST
UCB,BE0003739530,UCB,Euronext_Brussels,XBRU,FONCIERE_ATLAND
UMICORE,BE0003884047,UMI,Euronext_Brussels,XBRU,AGROGENERATION
UNITRONICS,IL0010838311,UNITB,Euronext_Brussels,XBRU,SBT
VAN_DE_VELDE,BE0003839561,VAN,Euronext_Brussels,XBRU,DISTRI-LAND_CERT
VASTNED_RETAIL_BEL,BE0003754687,VASTB,Euronext_Brussels,XBRU,BRAS.OUEST_AFRIC.
VGP,BE0003878957,VGP,Euronext_Brussels,XBRU,EMAKINA_GROUP
VIOHALCO,BE0974271034,VIO,Euronext_Brussels,XBRU,REALCO
WAREHOUSES,BE0003734481,WEB,Euronext_Brussels,XBRU,DEBFLEX
WDP,BE0003763779,WDP,Euronext_Brussels,XBRU,SOFTIMAT
WERELDHAVE_BELGIUM,BE0003724383,WEHB,Euronext_Brussels,XBRU,MUNCHENER_RUCKVERS
WOL._EXTENS._CERT,BE0003600112,WOLE,Euronext_Brussels,XBRU,DRDGOLD
WOL._SHOPPING_CERT,BE0003571792,WOLS,Euronext_Brussels,XBRU,FNG_N.V.
XIOR,BE0974288202,XIOR,Euronext_Brussels,XBRU,FUDAKIN
ZENITEL,BE0974311434,ZENT,Euronext_Brussels,XBRU,NEOLIFE
ZENOBE_GRAMME_CERT,BE0003809267,ZEN,Euronext_Brussels,XBRU,SERMA_TECHNOLOGIES
ZETES_INDUSTRIES,BE0003827442,ZTS,Euronext_Brussels,XBRU,HOPSCOTCH_GROUPE
ALTRI_SGPS,PTALT0AE0002,ALTR,Euronext_Lisbon,XLIS,BIOSYNEX
B.COM.PORTUGUES,PTBCP0AM0015,BCP,Euronext_Lisbon,XLIS,CONSTELLIUM
BANCO_BPI,PTBPI0AM0004,BPI,Euronext_Lisbon,XLIS,LEBON
BANCO_SANTANDER,ES0113900J37,SANT,Euronext_Lisbon,XLIS,ECA
BENFICA,PTSLB0AM0010,SLBEN,Euronext_Lisbon,XLIS,PROP.IMMEUBLES
COMPTA,PTCOM0AE0007,COMAE,Euronext_Lisbon,XLIS,TEXAF
CORTICEIRA_AMORIM,PTCOR0AE0006,COR,Euronext_Lisbon,XLIS,VIOHALCO
CTT_CORREIOS_PORT,PTCTT0AM0001,CTT,Euronext_Lisbon,XLIS,HOLLAND_COLOURS
EDP,PTEDP0AM0009,EDP,Euronext_Lisbon,XLIS,VIADEO
EDP_RENOVAVEIS,ES0127797019,EDPR,Euronext_Lisbon,XLIS,POL-ROGER_CHAMPAGN
ESTORIL_SOL_N,PTESO0AM0000,ESON,Euronext_Lisbon,XLIS,AFONE
ESTORIL_SOL_P,PTESO0AE0000,ESO,Euronext_Lisbon,XLIS,GASCOGNE
EURONEXT,NL0006294274,ENXP,Euronext_Lisbon,XLIS,PISCINES_DESJOYAUX
F.RAMA,PTFRV0AE0004,RAM,Euronext_Lisbon,XLIS,CAST
FUT.CLUBE_PORTO,PTFCP0AM0008,FCP,Euronext_Lisbon,XLIS,EAUX_DE_ROYAN
GALP_ENERGIA-NOM,PTGAL0AM0009,GALP,Euronext_Lisbon,XLIS,NR21
GLINTT,PTPAD0AM0007,GLINT,Euronext_Lisbon,XLIS,VDI_GROUP
IMOB.C_GRAO_PARA,PTGPA0AP0007,GPA,Euronext_Lisbon,XLIS,GLOBAL_GRAPHICS
INAPA-INV.P.GESTAO,PTINA0AP0008,INA,Euronext_Lisbon,XLIS,POUJOULAT
